,corrupt_found,axis,optimal,random
RandomEvaluator(),0.0,0.0,0.0,0.0
RandomEvaluator(),0.055,0.047619047619047616,0.23809523809523808,0.047619047619047616
RandomEvaluator(),0.145,0.09523809523809523,0.47619047619047616,0.09523809523809523
RandomEvaluator(),0.205,0.14285714285714285,0.7142857142857142,0.14285714285714285
RandomEvaluator(),0.255,0.19047619047619047,0.9523809523809523,0.19047619047619047
RandomEvaluator(),0.295,0.23809523809523808,1.0,0.23809523809523808
RandomEvaluator(),0.325,0.2857142857142857,1.0,0.2857142857142857
RandomEvaluator(),0.39,0.3333333333333333,1.0,0.3333333333333333
RandomEvaluator(),0.41,0.38095238095238093,1.0,0.38095238095238093
RandomEvaluator(),0.435,0.42857142857142855,1.0,0.42857142857142855
RandomEvaluator(),0.515,0.47619047619047616,1.0,0.47619047619047616
RandomEvaluator(),0.535,0.5238095238095238,1.0,0.5238095238095238
RandomEvaluator(),0.615,0.5714285714285714,1.0,0.5714285714285714
RandomEvaluator(),0.645,0.6190476190476191,1.0,0.6190476190476191
RandomEvaluator(),0.69,0.6666666666666666,1.0,0.6666666666666666
RandomEvaluator(),0.725,0.7142857142857143,1.0,0.7142857142857143
RandomEvaluator(),0.77,0.7619047619047619,1.0,0.7619047619047619
RandomEvaluator(),0.83,0.8095238095238095,1.0,0.8095238095238095
RandomEvaluator(),0.88,0.8571428571428571,1.0,0.8571428571428571
RandomEvaluator(),0.95,0.9047619047619048,1.0,0.9047619047619048
RandomEvaluator(),1.0,0.9523809523809523,1.0,0.9523809523809523
