,remove_least_influential_first_Metrics.ACCURACY,remove_most_influential_first_Metrics.ACCURACY,axis
RandomEvaluator(),0.800000011920929,0.800000011920929,0.0
RandomEvaluator(),0.7960000038146973,0.7900000214576721,0.05
RandomEvaluator(),0.800000011920929,0.8019999861717224,0.1
RandomEvaluator(),0.8059999942779541,0.7960000038146973,0.15
RandomEvaluator(),0.7940000295639038,0.7940000295639038,0.2
RandomEvaluator(),0.7820000052452087,0.8059999942779541,0.25
RandomEvaluator(),0.7879999876022339,0.7839999794960022,0.3
RandomEvaluator(),0.7720000147819519,0.7720000147819519,0.35
RandomEvaluator(),0.7620000243186951,0.7680000066757202,0.4
RandomEvaluator(),0.7680000066757202,0.7720000147819519,0.45
RandomEvaluator(),0.7839999794960022,0.765999972820282,0.5
RandomEvaluator(),0.777999997138977,0.7680000066757202,0.55
RandomEvaluator(),0.765999972820282,0.7720000147819519,0.6
RandomEvaluator(),0.7540000081062317,0.7480000257492065,0.65
RandomEvaluator(),0.7440000176429749,0.7440000176429749,0.7
RandomEvaluator(),0.6919999718666077,0.7080000042915344,0.75
RandomEvaluator(),0.7099999785423279,0.7139999866485596,0.8
RandomEvaluator(),0.7020000219345093,0.6240000128746033,0.85
RandomEvaluator(),0.6499999761581421,0.5419999957084656,0.9
RandomEvaluator(),0.6819999814033508,0.5600000023841858,0.95
